horizon,date,n,rho,rhoApp,lsSpread,medRet
H30d,2025-06-09,144,0.04801864801864802,0.024843858431644692,0.052806629654579385,-0.09764821575353116
H30d,2025-07-09,146,-0.01276160913113474,-0.02148519194866406,-0.4621647950891952,0.1332422523021195
H30d,2025-08-08,150,-0.10586959420418686,-0.15786771706461067,0.08916668657273756,-0.08304371452025078
H30d,2025-09-07,153,-0.08100130004154772,-0.12741466401347007,0.0730651549851416,-0.020200882961634026
H30d,2025-10-07,154,0.030917469627147046,0.05144868907305766,0.07049048385487106,-0.3642598674352236
H30d,2025-11-06,156,0.16519732578906607,0.16895331219574553,-0.15663389511236583,-0.2035300117169952
H30d,2025-12-06,157,0.1722567120857857,0.11157586794386315,-0.16359011804736723,-0.046668372229963784
H30d,2026-01-05,160,-0.0165738896050627,-0.016162809006455676,0.050191217293195034,-0.2763831343892028
H30d,2026-02-04,159,0.10323023644614282,0.06763925729442971,-0.09507999134732079,-0.12519497830260495
H30d,2026-03-06,160,0.16291163717332707,0.1594000944733113,-0.08716892127148161,-0.10606457744889386
H30d,2026-04-05,162,0.14533540513801918,0.14064707704629426,0.029330769800872313,0.01195156981938017
H30d,2026-05-05,162,0.1426031068602421,0.1097741577193632,-0.1527637409998784,-0.14720455215781375
H90d,2025-06-09,144,-0.05097660959729925,-0.07721133828004056,-0.2575073149889816,-0.039435988852013326
H90d,2025-07-09,146,-0.14241369670211024,-0.18328725477193664,-1.491288649995608,0.04881388938634412
H90d,2025-08-08,150,-0.11434285968265256,-0.16384154423432337,0.05870193505572674,-0.410545926309555
H90d,2025-09-07,153,0.08692185007974482,0.06162559314250727,-0.06175382151567327,-0.4938377271063783
H90d,2025-10-07,154,0.2201713529986775,0.2201482582930616,-0.24458855940936836,-0.5223199951578079
H90d,2025-11-06,156,0.21980054053199727,0.21090716295990494,-0.32366253417571533,-0.463700105080621
H90d,2025-12-06,157,0.16562370146180513,0.1267857105435769,-0.14211615168672675,-0.41119435987754693
H90d,2026-01-05,160,0.07088362826672917,0.05348763974177295,-0.032182450866928725,-0.433626358188616
H90d,2026-02-04,159,0.16473011702889898,0.1425930391447633,-0.11493748263013925,-0.19831762258915842
H90d,2026-03-06,160,0.210641040665651,0.2026413163281373,-0.22732962218877598,-0.1854823650368302
