name,symbol,slug,category,assetClass,gecko_id,mcap,annualRevenue,annualFees,ps,pf,revYield
Bitcoin,BTC,bitcoin,Chain,L1/Monetary,bitcoin,1279472728700.6978,0,108341217,,11809.658079627237,0
Solana,SOL,solana,Chain,L1/Monetary,solana,38769054726.92871,36674339,312829446,1057.1166593330752,123.9303244072769,0.0009459693886868556
Tron,TRX,tron,Chain,L1/Monetary,tron,30969854468.26819,450281190,450281190,68.7789211631696,68.7789211631696,0.014539338260738666
Rain,RAIN,rain,Prediction Market,Application,rain,8272842552.890582,648085,1012973,12765.057905815722,8166.893444238476,0.00007833885340578072
Cardano,ADA,cardano,Chain,L1/Monetary,cardano,6213228022.647895,85944,1914023,72293.91257851502,3246.1616305801417,0.00001383242328894493
Canton,CC,canton,Chain,L1/Monetary,canton-network,6079637361.744109,445434103,445434103,13.648791865727688,13.648791865727688,0.07326655793697127
TON,TON,ton,Chain,L1/Monetary,the-open-network,4604960166.831576,1841518,3683055,2500.632720848548,1250.3099103411641,0.0003998987902792325
LAB Terminal,LAB,lab-terminal,Trading App,Application,lab,4002917923.6963835,0,11479585,,348.69883568930265,0
Hedera,HBAR,hedera,Chain,L1/Monetary,hedera-hashgraph,3570002640.865737,0,436099,,8186.220653717934,0
Litecoin,LTC,litecoin,Chain,L1/Monetary,litecoin,3333929403.8073487,0,241878,,13783.516499257265,0
Avalanche,AVAX,avalanche,Chain,L1/Monetary,avalanche-2,2916836442.3056626,6864186,6864186,424.9355192743411,424.9355192743411,0.0023532982173570514
Defi Swap,CRO,defi-swap,Dexs,Application,crypto-com-chain,2775363034.3854723,0,179687,,15445.541605043616,0
Near,NEAR,near,Chain,L1/Monetary,near,2772672195.771835,2001083,2001083,1385.585803173499,1385.585803173499,0.0007217164016184589
Tether Gold,XAUt,tether-gold,RWA,Application,tether-gold,2635703012.2816005,5039552,5039552,523.0034360755877,523.0034360755877,0.0019120333271681865
BlackRock BUIDL,BUIDL,blackrock-buidl,RWA,Application,blackrock-usd-institutional-digital-liquidity-fund,2407226190.470449,8410024,36276702,286.2329751342504,66.35736044777303,0.0034936575687374073
World Liberty Financial,WLFI,world-liberty-financial,Lending,Application,world-liberty-financial,1778648370.493133,107491254,107491254,16.546912463158474,16.546912463158474,0.06043423522221983
Aave V2,AAVE,aave-v2,Lending,Application,aave,978548726.3181343,1272430,1510518,769.0393391527505,647.8232807011465,0.0013003235973620005
Venice,VVV,venice,Farm,Application,venice-token,844862486.1590804,744857,744857,1134.26132285671,1134.26132285671,0.0008816310490790922
JustLend,JST,justlend,Lending,Application,just,678309762.9794693,514734,8625842,1317.7869792542738,78.63693341235201,0.0007588479896545137
Filecoin,FIL,filecoin,Chain,L1/Monetary,filecoin,614519523.5516832,2763367,2763367,222.3807129316096,222.3807129316096,0.004496792850500203
Flare,FLR,flare,Chain,L1/Monetary,flare-networks,608075085.0684363,0,148244,,4101.852925369231,0
Aptos,APT,aptos,Chain,L1/Monetary,aptos,554084354.5899886,255147,1348518,2171.627942284207,410.88391448240856,0.00046048403620564904
Jupiter Aggregator,JUP,jupiter-aggregator,DEX Aggregator,Application,jupiter-exchange-solana,537553429.2490509,37714490,37714490,14.25323341901351,14.25323341901351,0.07015951893877086
Arbitrum,ARB,arbitrum,Chain,L1/Monetary,arbitrum,521809147.3506284,13301248,13533152,39.23008933828077,38.55784279601887,0.0254906378462972
Virtuals Protocol,VIRTUAL,virtuals-protocol,AI Agents,Application,virtual-protocol,383921091.84436333,22968924,22968924,16.714805266644763,16.714805266644763,0.0598272001406771
Sei,SEI,sei,Chain,L1/Monetary,sei-network,336855634.385491,109884,157299,3065.5567178614815,2141.498893098437,0.0003262050231116244
Celestia,TIA,celestia,Chain,L1/Monetary,celestia,298411696.5763957,0,52441,,5690.427272103806,0
Tezos,XTZ,tezos,Chain,L1/Monetary,tezos,268849970.8203693,510500,552714,526.6404913229566,486.4178776372035,0.001898828549031489
Falcon Finance,FF,falcon-finance,Basis Trading,Application,falcon-finance-ff,263987117.91841274,0,4668202,,56.550063154596295,0
Monad,-,monad,Chain,L1/Monetary,monad,263632392.7388006,543526,1011281,485.0409966382484,260.69153157114647,0.002061681397924837
Olympus DAO,OHM,olympus-dao,Reserve Currency,Other/Monetary,olympus,257459208.63233244,2820341,2820341,91.28655316230642,91.28655316230642,0.010954515921112847
Lido,LDO,lido,Liquid Staking,Application,lido-dao,228846360.50486946,76519690,771587271,2.9906859333182014,0.2965916742098114,0.3343714526688826
Pendle,PENDLE,pendle,Yield,Application,pendle,220206529.53556657,24536746,25299021,8.97456123707547,8.704152209509077,0.11142606012523783
The Graph,GRT,the-graph,Developer Tools,Application,the-graph,218518328.54439187,4332,615329,50442.82745715417,355.1243782503212,0.000019824424014482412
ENS,ENS,ens,Domains,Application,ethereum-name-service,193519282.62070844,1459800,1459800,132.56561352288563,132.56561352288563,0.007543434329803511
Railgun,RAIL,railgun,Privacy,Application,railgun,187977727.9898012,4569843,4569843,41.134395205656126,41.134395205656126,0.02431055555819857
Plasma,XPL,plasma,Chain,L1/Monetary,plasma,187606589.6823659,221997,221997,845.0861483820318,845.0861483820318,0.001183311313189265
Axie Infinity,AXS,axie-infinity,Gaming,Application,axie-infinity,165247631.19506875,1767006,1897761,93.51843241905729,87.07504854144898,0.01069307915170121
Fidelity Digital Interest Token,FDIT,fidelity-digital-interest-token,RWA,Application,fidelity-digital-interest-token,142551856.09,303797,5886031,469.23391636520444,24.218672326054687,0.002131133247456266
EigenCloud,EIGEN,eigencloud,Restaking,Application,eigenlayer,136517055.89916655,0,53097864,,2.5710460951718614,0
Bitway Earn,BTW,bitway-earn,Basis Trading,Application,bitway,133524223.88526073,215287,1056928,620.2149869024174,126.33237447135541,0.0016123441405283823
Flying Tulip Lend,FT,flying-tulip-lend,Lending,Application,flying-tulip,127408947.17561382,0,2318,,54965.033294052555,0
Thorchain DEX,RUNE,thorchain-dex,Dexs,Application,thorchain,122331360.032964,11355263,26522224,10.77309790473052,4.612409578961554,0.09282381064790055
Convex Finance,CVX,convex-finance,Yield,Application,convex-finance,114475785.45287041,4053717,37817635,28.239708261052858,3.0270477107537372,0.03541113069426295
Sonic,S,sonic,Chain,L1/Monetary,sonic-3,113760010.81729129,201509,519309,564.540595294956,219.06034907404126,0.001771351800622113
Story,IP,story,Chain,L1/Monetary,story-2,112518642.59537196,0,26290,,4279.902723292962,0
ZKsync Era,ZK,zksync-era,Chain,L1/Monetary,zksync,102408341.56620303,402761,670333,254.2657843391069,152.7723408607409,0.003932892514811702
Aethir,ATH,aethir,Developer Tools,Application,aethir,92136397.23644374,20885636,104428129,4.411471943513893,0.8822948195925615,0.22668170914478594
Reserve Protocol,RSR,reserve-protocol,Indexes,Application,reserve-rights-token,88375523.68179034,1095395,7301716,80.679137372172,12.10339099491001,0.01239477803768539
Walrus Protocol,WAL,walrus-protocol,Developer Tools,Application,walrus-2,87146039.37523817,156134,156134,558.1490218353348,558.1490218353348,0.0017916362134107978
Helium Network,HNT,helium-network,DePIN,Application,helium,84459880.80601956,15499959,15499959,5.449038981717278,5.449038981717278,0.18351859903282386
CoWSwap,COW,cowswap,DEX Aggregator,Application,cow-protocol,81909494.79461548,26122138,41137694,3.1356351763632624,1.9911056461894894,0.3189146516591286
Nexus Mutual,NXM,nexus-mutual,Insurance,Application,nxm,78729829.28402568,2012624,4025243,39.11800181455934,19.55902520270843,0.025563677938882083
deBridge,DBR,debridge,Bridge,Other/Monetary,debridge,78289223.22099257,10246488,10246488,7.640590924518973,7.640590924518973,0.13087992929852565
Safe,SAFE,safe,Services,Application,safe,73241919.81790933,1594225,1594225,45.942021871385364,45.942021871385364,0.021766564884747538
Berachain,BERA,berachain,Chain,L1/Monetary,berachain-bera,71924026.4101696,72978,101132,985.5576531306641,711.1895978539889,0.0010146539848008478
Geodnet,GEOD,geodnet,Oracle,Application,geodnet,71235738.73166211,6336798,6336798,11.241598474759982,11.241598474759982,0.08895532092212988
sDAI,sDAI,sdai,Yield,Application,savings-xdai,69588243.96670084,0,4823354,,14.42735572937438,0
Plume Mainnet,PLUME,plume-mainnet,Chain,L1/Monetary,plume,64768847.12434344,0,999167,,64.8228445538568,0
Velo Finance,VELO,velo-finance,Dexs,Application,velo,60077197.933048055,3198,3199,18785.865520027535,18779.993101921867,0.00005323151062344741
stUSDT,STUSDT,stusdt,RWA,Application,staked-usdt,59383352.99441045,20215,1409282,2937.588572565444,42.13731034272094,0.00034041526759027513
Portal,W,portal,Bridge,Other/Monetary,wormhole,57123868.66226616,0,805806,,70.89034911910082,0
Peaq,PEAQ,peaq,Chain,L1/Monetary,peaq-2,55201096.429004356,0,110,,501828.14935458504,0
ZetaChain,ZETA,zetachain,Chain,L1/Monetary,zetachain,53901844.93607269,0,38660,,1394.2536196604422,0
Movement,MOVE,movement,Chain,L1/Monetary,movement,53719424.96305873,1442,1442,37253.41536966625,37253.41536966625,0.000026843176392741004
MYX Finance,MYX,myx-finance,Derivatives,Application,myx-finance,53430469.6095686,39622,141300,1348.5051135623796,378.1349583125874,0.0007415618894898181
Bankr,BNKR,bankr,Interface,Application,bankercoin-2,53236726.82809681,11549149,28869074,4.609580050278753,1.8440746256044378,0.21693950188358863
Sierra Protocol,SIERRA,sierra-protocol,Yield,Application,sierra-2,53081056.84560319,0,251058,,211.4294579165101,0
aPriori,APR,apriori,Liquid Staking,Application,apriori,51952480.24979232,7538,43794,6892.077507268815,1186.292191848023,0.0001450941314785473
Blur Bids,BLUR,blur-bids,NFT Marketplace,Application,blur,50025684.16665399,1,106429,50025684.16665399,470.0380926876508,1.998973160804021e-8
SushiSwap,SUSHI,sushiswap,Dexs,Application,sushi,46836676.1711317,4193003,25161565,11.170198583481028,1.8614373220080587,0.08952392318958798
Collector Crypt,CARDS,collector-crypt,Physical TCG,Application,collector-crypt,46545531.483552836,48583933,48583933,0.9580437113552095,0.9580437113552095,1.0437937101903638
Flow,FLOW,flow,Chain,L1/Monetary,flow,45519695.037807845,0,2397,,18990.27744589397,0
OpenLedger,OPEN,openledger,Decentralized AI,Application,openledger-2,43454667.37175109,135449,135449,320.8194034046105,320.8194034046105,0.003117018451464488
Solstice,SLX,solstice,Basis Trading,Application,solstice,42592011.05166946,0,2819212,,15.107771622591512,0
Ankr,ANKR,ankr,Liquid Staking,Application,ankr,39161295.63273441,107640,1078031,363.8173135705538,36.326687852885875,0.0027486322467335615
Frankencoin,ZCHF,frankencoin,CDP,Application,frankencoin,38827254.33526357,920569,1063309,42.17745148409687,36.515494870506664,0.023709350963916177
Api3,API3,api3,Risk Curators,Application,api3,37197590.72665762,18147,664071,2049.7928432610142,56.01447846187775,0.00048785417672212215
ORE Protocol,ORE,ore-protocol,Gamified Mining,Application,ore,37168408.90942862,30164949,30164949,1.2321721117257192,1.2321721117257192,0.8115749337967483
Celo,CELO,celo,Chain,L1/Monetary,celo,36900423.57916309,0,428585,,86.09826190642018,0
Reental,RNT,reental,RWA,Application,reental,35868198.32930597,706774,706774,50.74917629865554,50.74917629865554,0.019704753316882748
Vana,VANA,vana,Chain,L1/Monetary,vana,35135647.61643962,0,2480,,14167.599845338556,0
Osmosis DEX,OSMO,osmosis-dex,Dexs,Application,osmosis,34536518.10570309,1989137,5802023,17.362563818230264,5.952495897672776,0.057595180669690306
Avantis,AVNT,avantis,Derivatives,Application,avantis,33135526.819448814,0,18882712,,1.7548076155294225,0
IoTeX,IOTX,iotex,Chain,L1/Monetary,iotex,32880662.226382732,0,92580,,355.1594537306409,0
SSV Network,SSV,ssv-network,Staking Pool,Application,ssv-network,30692585.36042631,2392714,2438015,12.827519444624937,12.58917002578996,0.07795739498325423
Rocket Pool,RPL,rocket-pool,Liquid Staking,Application,rocket-pool,30537783.29402515,0,48977167,,0.623510610444764,0
Across,ACX,across,Cross Chain Bridge,Application,across-protocol,29487758.36572763,0,874398,,33.72349704108156,0
Renzo,REZ,renzo,Liquid Restaking,Application,renzo,28484725.764823828,2227881,22924173,12.785568782544413,1.242562851223633,0.07821318057944024
Illuvium,ILV,illuvium,Gaming,Application,illuvium,28134817.08912579,101444,101444,277.3433331604214,277.3433331604214,0.0036056392219876374
Gyroscope Protocol,GYD,gyroscope-protocol,Dexs,Application,gyroscope-gyd,24026504.648798317,0,179586,,133.78829445946965,0
Hyperlane,HYPER,hyperlane,Cross Chain Bridge,Application,hyperlane,23707479.783654552,1473415,1473415,16.090157751654864,16.090157751654864,0.06214979464058707
PinkSale,PINKSALE,pinksale,Launchpad,Application,pinksale,22539552.63539362,1484819,1484819,15.18000014506389,15.18000014506389,0.06587615220314554
Space and Time,SXT,space-and-time,Developer Tools,Application,space-and-time,22439155.035106115,53348,153152,420.61848682436295,146.51558605245845,0.0023774513753542378
Hydration DEX,HDX,hydration-dex,Dexs,Application,hydradx,22335420.193360385,838888,1646457,26.625032415960636,13.565747658979484,0.0375586397183329
Momentum,MMT,momentum,Dexs,Application,momentum-3,22122685.620425947,3080277,15446380,7.182044218888739,1.4322246131731802,0.13923612407871358
Tornado Cash,TORN,tornado-cash,Privacy,Application,tornado-cash,22029422.814033546,0,5701919,,3.863510304869912,0
STON.fi,STON,ston.fi,Dexs,Application,ston-2,20811630.626120545,1524909,5692500,13.647785294808113,3.6559737595293007,0.07327196159661302
Gravity by Galxe,G,gravity-by-galxe,Chain,L1/Monetary,g-token,20199233.092798665,2945,162826,6858.82278193503,124.05410126637432,0.00014579761451685694
OPINION,OPN,opinion,Prediction Market,Application,opinion,20014779.92368184,17311569,17311569,1.1561505443950135,1.1561505443950135,0.8649392631850349
Metis,METIS,metis,Chain,L1/Monetary,metis-token,19790362.97861112,0,66544,,297.40266558384104,0
Yield Basis,YB,yield-basis,Leveraged Farming,Application,yield-basis,19324338.866580475,3791965,27013273,5.096127961777198,0.7153645863861249,0.19622741177230268
Usual USD0,USUAL,usual-usd0,RWA,Application,usual,17596164.709999833,16922602,25803796,1.0398025498679124,0.6819215556501778,0.9617210499503309
Tree News,TREE,tree-news,SoFi,Application,tree-capital,16948762.932735585,1515395,1515395,11.184386204742383,11.184386204742383,0.08941036027314415
Definitive,EDGE,definitive,DEX Aggregator,Application,definitive,16685019.206818286,2928634,2928634,5.697201906014301,5.697201906014301,0.1755247604871334
Capx AI,CAPX,capx-ai,AI Agents,Application,capx-ai,15719727.498460652,349285,390943,45.00544683699744,40.20976842777758,0.022219532751709823
MorpheusAI,MOR,morpheusai,AI Agents,Application,morpheusai,14621981.591794036,1066269,1066269,13.713220202213547,13.713220202213547,0.07292233226434904
Aquarius Stellar,AQUA,aquarius-stellar,Dexs,Application,aquarius,14204167.237018326,240437,480881,59.07646176344875,29.537800905043714,0.016927215512739305
Hegic,HEGIC,hegic,Options,Application,hegic,13468854.789245272,608138.6666666666,1539228,22.14767046974803,8.750396165639705,0.04515147547304901
Looped Hype,LHYPE,looped-hype,Yield,Application,looped-hype,13401529.485870797,86057,673566,155.72852279153116,19.896386524662464,0.006421431232213435
HumidiFi,WET,humidifi,Dexs,Application,humidifi,13216392.7060477,889188,889188,14.863440246660662,14.863440246660662,0.06727917517108248
Limitless Exchange,LMTS,limitless-exchange,Prediction Market,Application,limitless-3,13147605.75175713,11385327,11385327,1.1547850801085582,1.1547850801085582,0.865962002129429
Banana Gun,BANANA,banana-gun,Telegram Bot,Application,banana-gun,12176746.502863785,6846453,6846453,1.7785481771164988,1.7785481771164988,0.5622563464214204
Ready Cards,READY,ready-cards,Physical TCG,Application,ready,11796490.097305797,28716,28716,410.7985129302757,410.7985129302757,0.002434283398123519
SideShift,XAI,sideshift,Cross Chain Bridge,Application,sideshift-token,11587831.411604108,5413274,5413274,2.1406327135120278,2.1406327135120278,0.4671516013409655
Gains Network,GNS,gains-network,Derivatives,Application,gains-network,11576918.638544051,7668747,9942488,1.5096232329145884,1.1643884949666574,0.6624169383438325
Dolomite,DOLO,dolomite,Lending,Application,dolomite,11388129.248634093,2014801,9824213,5.652235257295431,1.159189977724841,0.1769211567599356
HOPR,HOPR,hopr,Privacy,Application,hopr,11229078.086688662,51433,51433,218.32438486358296,218.32438486358296,0.004580340398645055
SMARDEX AMM,SDEX,smardex-amm,Dexs,Application,smardex,11184429.39906222,22587,26777,495.1710895232753,417.687918701207,0.002019504008125247
Layer3,L3,layer3,Foundation,Application,layer3,11067541.792220214,1010275,1043662,10.954979379099962,10.604526937092865,0.0912826912214743
Moonbeam,GLMR,moonbeam,Chain,L1/Monetary,moonbeam,11003842.589060064,0,7680,,1432.7920037838626,0
Stader,SD,stader,Liquid Staking,Application,stader,10740725.908586506,579036,11230416,18.549323200261306,0.9563960861811802,0.05391032272195855
Metaplex,MPLX,metaplex,Launchpad,Application,metaplex,10422598.839217303,13054251,13054251,0.7984064990949924,0.7984064990949924,1.2524948145255799
Goldfinch,GFI,goldfinch,RWA Lending,Application,goldfinch,10392488.76718605,183217,1567313,56.72229524108597,6.630767923947578,0.017629752035768546
Hfun,HFUN,hfun,Launchpad,Application,hypurr-fun,9993212.265151259,320,30758,31228.788328597682,324.8979863824455,0.00003202173550500045
Benqi Lending,QI,benqi-lending,Lending,Application,benqi,9941370.049297497,1014208,5588427,9.80210178710629,1.7789209824692165,0.10201893652190008
THENA V1,THE,thena-v1,Dexs,Application,thena,9249239.756710822,262973,262973,35.17182279819914,35.17182279819914,0.02843185028360833
Synapse,SYN,synapse,Cross Chain Bridge,Application,synapse-2,8856467.20883492,149903,150005,59.08132064625071,59.04114668734322,0.016925823408510076
Aspecta BuildKey,ASP,aspecta-buildkey,SoFi,Application,aspecta,8541594.236408744,645414,645414,13.234287196138826,13.234287196138826,0.07556130414728761
DEXTools,DEXT,dextools,Coins Tracker,Application,dextools,8513653.286001237,4834021,4834021,1.7611949319213211,1.7611949319213211,0.5677963193484101
Inverse Finance FiRM,INV,inverse-finance-firm,CDP,Application,inverse-finance,7955924.475789974,6682371,6356709,1.190584071999291,1.2515791545263397,0.839923885694815
THORSwap,THOR,thorswap,DEX Aggregator,Application,thorswap,7808248.329809303,5177340,5177340,1.5081583071247597,1.5081583071247597,0.6630603665913944
Bitgert,BRISE,bitgert,Chain,L1/Monetary,bitrise-token,7756453.618534836,0,104,,74581.2847936042,0
Pool Party,SEND,pool-party,Dexs,Application,send-token-2,7654710.621087593,0,752,,10179.136464212224,0
Resolv,RESOLV,resolv,Basis Trading,Application,resolv,7190054.810613001,2100918,24063895,3.422339572802461,0.2987901505809014,0.29219777252586515
Badger DAO,BADGER,badger-dao,Yield Aggregator,Application,badger-dao,7027799.790551211,15591,80324,450.7600404432821,87.49315012388838,0.0022184752646143826
Treehouse Protocol,TREE,treehouse-protocol,DOR,Application,treehouse,6960127.963564845,1369112,2631911,5.08368049039439,2.6445149412593527,0.19670787766648573
Overtime,OVER,overtime,Prediction Market,Application,overtime,6764285.205797767,1336319,1363663,5.061879091592477,4.960378924850031,0.19755509404816662
Solomon USDv,SOLO,solomon-usdv,Basis Trading,Application,solomon,6694553.083397248,0,51457,,130.09994914972205,0
Stake DAO,SDT,stake-dao,Yield,Application,stake-dao,6468749.648446656,1248455,1392612,5.181403934019773,4.645048045289467,0.19299788488487757
Edel,EDEL,edel,Lending,Application,edel,6450505.658343295,109,1136,59178.95099397518,5678.26202318952,0.000016897900067573127
PAAL AI,PAAL,paal-ai,Telegram Bot,Application,paal-ai,6291256.692154707,155202,683820,40.53592538855625,9.200164797980035,0.024669475049959297
Kleros,PNK,kleros,Services,Application,kleros,6225988.925197716,23,21262,270695.17066077027,292.8223556202481,0.000003694192244209557
AlphaLend,BLUE,alphalend,Lending,Application,bluefin,6042805.804642931,1438199,4807950,4.201647897573931,1.256836240943215,0.23800185650430367
Merkle Trade,MKL,merkle-trade,Derivatives,Application,merkle-trade,6031638.652541954,938390,973995,6.427645917520385,6.192679277144086,0.15557795386242643
Stables Labs USDX,USDX,stables-labs-usdx,Basis Trading,Application,usdx-money-usdx,5693792.8302454455,0,7234310,,0.7870540286835158,0
SYMMIO,SYMM,symmio,Derivatives,Application,symmio,5625697.961521188,72253,228616,77.8610986605565,24.60763009378691,0.012843384144367182
Peapods Finance,PEAS,peapods-finance,Yield,Application,peapods-finance,5468092.962520975,1747353,1747353,3.1293579274027485,3.1293579274027485,0.3195543696818226
Quickswap Dex,QUICK,quickswap-dex,Dexs,Application,quickswap,5420607.015716197,5580447,33482806,0.9713571360351952,0.16189225645294475,1.0294874695436087
Mind Network,FHE,mind-network,Chain,L1/Monetary,mind-network,5349054.784330533,0,10656,,501.97586189288035,0
NFPrompt,NFP,nfprompt,NFT Marketplace,Application,nfprompt-token,5347752.786109299,0,0,,,0
Enzyme Finance,MLN,enzyme-finance,Indexes,Application,melon,5183619.299066169,54891,54891,94.43477617580604,94.43477617580604,0.010589319321711884
Ekubo,EKUBO,ekubo,Dexs,Application,ekubo-protocol,4843065.519805692,437159,3594406,11.078498943875552,1.3473896715634495,0.09026493616744198
Tectonic,TONIC,tectonic,Lending,Application,tectonic,4516789.758045213,283440,2799250,15.935611621666714,1.6135714059284498,0.06275253336623483
Graphite Protocol,GP,graphite-protocol,Launchpad,Application,graphite-protocol,4506369.292881495,25830483,25830483,0.17445935071680602,0.17445935071680602,5.7319942777000605
LeverUp,LV,leverup,Derivatives,Application,leverup,4496926.172141824,767112,787623,5.862150731759931,5.709490672748033,0.1705858559013512
Trueo,TRUE,trueo,Prediction Market,Application,true,4473150.321060089,263,263,17008.17612570376,17008.17612570376,0.00005879525191938369
Hamilton Lane Senior Credit Opportunities Securitize Fund,HLSCOPE,hamilton-lane-senior-credit-opportunities-securitize-fund,RWA,Application,hamilton-lane-senior-credit-opportunities-securitize-fund,4292865.820529231,56166,207982,76.43175267117527,20.64056418598355,0.013083567562583583
Boson Protocol,BOSON,boson-protocol,RWA,Application,boson-protocol,4118147.555118324,0,0,,,0
Ancient8,A8,ancient8,Chain,L1/Monetary,ancient8,3975958.2871632637,0,130,,30584.29451664049,0
Infrared Finance,IR,infrared-finance,Liquid Staking,Application,infrared-finance,3641395.504230062,2129986,2129986,1.709586590817997,1.709586590817997,0.5849367357996903
Gearbox,GEAR,gearbox,Lending,Application,gearbox,3531791.069775207,478605,1877271,7.379344281349352,1.8813432209708705,0.13551339548249736
0x0.ai,0X0,0x0.ai,Privacy,Application,0x0-ai-ai-smart-contract,3526198.851082432,0,0,,,0
FlashTrade,FAF,flashtrade,Derivatives,Application,flash-trade,3367852.1184688937,1041776,3753174,3.2327987191765732,0.8973343944269287,0.30932949647255187
Equilibria,EQB,equilibria,Yield,Application,equilibria-finance,3237155.729034695,1323484,3970463,2.445934918015401,0.815309380552015,0.4088416223320393
Angle,ANGLE,angle,CDP,Application,angle-protocol,3234569.1673265006,0,0,,,0
Geist Finance,GEIST,geist-finance,Lending,Application,geist-finance,2950049.2543095406,0,0,,,0
Beefy,BIFI,beefy,Yield Aggregator,Application,beefy-finance,2924399.861184993,1827094,1930746,1.6005743881732373,1.5146476342227269,0.6247757101382316
SOFA.org,RCH,sofa.org,Options,Application,rch-token,2921091.6758066923,174536,174536,16.73632761038807,16.73632761038807,0.059750264411609036
Kwenta,KWENTA,kwenta,Derivatives,Application,kwenta,2857962.5398543593,0,0,,,0
mETH Protocol,COOK,meth-protocol,Liquid Staking,Application,meth-protocol,2616722.93910379,2568001,25680174,1.0189727103314175,0.10189662029173907,0.9813805510794823
Frax FPI,FPIS,frax-fpi,Algo-Stables,Application,frax-price-index-share,2530844.693689405,0,1876,,1349.0643356553333,0
Cakepie,CKP,cakepie,Yield,Application,cakepie-xyz,2478332.85823793,0,0,,,0
Veno Finance,VNO,veno-finance,Liquid Staking,Application,veno-finance,2471475.2489813115,224356,2243715,11.015864291489024,1.1015103295121311,0.09077816987747488
Omnipair,OMFG,omnipair,Lending,Application,omnipair,2409749.4293448986,606,6146,3976.4842068397666,392.0841896102991,0.0002514784286782646
fx Protocol,FXN,fx-protocol,Dual-Token Stablecoin,Application,fxn-token,2324405.7944618333,966770,6784073,2.404300706953912,0.3426268842422293,0.4159213517293072
ZealousSwap,ZEAL,zealousswap,Dexs,Application,zeal,2260137.568067842,708,4929,3192.284700660794,458.5387640632668,0.0003132552681761131
WaterNeuron,WTN,waterneuron,Liquid Staking,Application,waterneuron,2254437.4719498553,95327,891941,23.64951663169779,2.527563450889527,0.04228416231812897
